635 : [(5, 17), (22, 8), (9, 23), (18, 21), (11, 12), (10, 20), (12, 20), (19, 8), (14, 5), (15, 10), (0, 15), (4, 0), (8, 18), (24, 12), (11, 7), (22, 10), (15, 13), (4, 3), (15, 4), (1, 21), (19, 9), (8, 23), (10, 4), (12, 13), (14, 6), (22, 18), (6, 9), (1, 22), (14, 7), (13, 11), (3, 0), (17, 11), (14, 1), (11, 15), (13, 19), (23, 20), (2, 5), (18, 13), (10, 5), (16, 21)]
639 : [(9, 23), (23, 20), (15, 13), (18, 13), (6, 9), (14, 7), (10, 20), (15, 10), (12, 20), (16, 21), (22, 10), (11, 15), (17, 11), (1, 21), (19, 8), (10, 5), (15, 4), (13, 19), (11, 12), (12, 13), (0, 15), (3, 0), (13, 11), (1, 22), (14, 1), (4, 3), (2, 5), (24, 12), (14, 5), (8, 18), (22, 18), (8, 23), (10, 4), (11, 7), (14, 6), (19, 9), (5, 17), (4, 0), (18, 21), (22, 8)]
667 : [(10, 4), (11, 12), (15, 13), (0, 15), (23, 20), (14, 7), (16, 21), (5, 17), (24, 12), (3, 0), (22, 8), (19, 8), (14, 5), (10, 20), (10, 5), (12, 20), (1, 21), (4, 0), (22, 18), (19, 9), (14, 6), (9, 23), (17, 11), (11, 15), (22, 10), (11, 7), (18, 13), (13, 19), (8, 23), (12, 13), (6, 9), (1, 22), (8, 18), (18, 21), (15, 4), (13, 11), (15, 10), (14, 1), (2, 5), (4, 3)]
629 : [(9, 23), (24, 12), (18, 21), (22, 18), (13, 19), (11, 12), (6, 9), (18, 13), (14, 6), (0, 15), (8, 18), (15, 13), (15, 10), (1, 22), (22, 8), (17, 11), (13, 11), (16, 21), (14, 1), (10, 20), (19, 8), (4, 3), (10, 4), (15, 4), (14, 5), (3, 0), (23, 20), (2, 5), (4, 0), (8, 23), (11, 15), (19, 9), (5, 17), (12, 20), (11, 7), (10, 5), (14, 7), (1, 21), (12, 13), (22, 10)]
645 : [(17, 11), (10, 20), (14, 7), (18, 13), (22, 10), (5, 17), (15, 4), (12, 13), (10, 4), (22, 8), (2, 5), (8, 18), (12, 20), (6, 9), (13, 19), (24, 12), (14, 6), (19, 9), (11, 15), (23, 20), (1, 22), (9, 23), (13, 11), (19, 8), (14, 1), (14, 5), (4, 3), (15, 10), (4, 0), (15, 13), (22, 18), (11, 7), (8, 23), (10, 5), (11, 12), (1, 21), (0, 15), (18, 21), (16, 21), (3, 0)]
663 : [(15, 13), (9, 23), (10, 4), (0, 15), (1, 22), (11, 15), (10, 5), (11, 7), (2, 5), (16, 21), (15, 4), (11, 12), (22, 8), (17, 11), (15, 10), (19, 8), (18, 21), (14, 5), (12, 13), (13, 19), (24, 12), (6, 9), (1, 21), (19, 9), (14, 7), (14, 1), (10, 20), (13, 11), (3, 0), (8, 18), (22, 10), (18, 13), (22, 18), (12, 20), (4, 3), (23, 20), (14, 6), (8, 23), (4, 0), (5, 17)]
645 : [(15, 4), (6, 9), (12, 13), (18, 13), (10, 5), (5, 17), (2, 5), (13, 19), (14, 6), (15, 13), (22, 18), (1, 21), (8, 23), (8, 18), (24, 12), (3, 0), (14, 1), (4, 0), (4, 3), (11, 7), (10, 20), (11, 15), (14, 5), (12, 20), (1, 22), (22, 8), (13, 11), (22, 10), (0, 15), (14, 7), (19, 9), (16, 21), (9, 23), (23, 20), (17, 11), (19, 8), (18, 21), (15, 10), (10, 4), (11, 12)]
671 : [(14, 1), (9, 23), (1, 22), (15, 13), (4, 3), (14, 6), (15, 10), (18, 21), (10, 4), (16, 21), (14, 7), (13, 11), (8, 23), (15, 4), (11, 7), (2, 5), (23, 20), (10, 5), (14, 5), (5, 17), (6, 9), (11, 15), (12, 13), (0, 15), (11, 12), (17, 11), (19, 8), (22, 10), (1, 21), (4, 0), (19, 9), (22, 8), (8, 18), (12, 20), (18, 13), (13, 19), (3, 0), (22, 18), (24, 12), (10, 20)]
661 : [(24, 12), (8, 18), (1, 21), (19, 8), (13, 19), (16, 21), (8, 23), (11, 15), (4, 0), (17, 11), (4, 3), (10, 4), (22, 18), (14, 7), (14, 5), (23, 20), (15, 4), (12, 13), (22, 10), (22, 8), (0, 15), (11, 7), (10, 20), (13, 11), (2, 5), (10, 5), (14, 6), (19, 9), (6, 9), (14, 1), (11, 12), (15, 13), (5, 17), (3, 0), (18, 13), (15, 10), (12, 20), (18, 21), (1, 22), (9, 23)]
667 : [(14, 1), (9, 23), (12, 13), (1, 22), (11, 12), (4, 0), (19, 8), (5, 17), (23, 20), (19, 9), (13, 11), (8, 18), (22, 8), (15, 10), (22, 10), (4, 3), (11, 15), (8, 23), (10, 4), (16, 21), (14, 7), (14, 5), (0, 15), (10, 5), (15, 13), (1, 21), (18, 13), (12, 20), (10, 20), (22, 18), (13, 19), (3, 0), (11, 7), (2, 5), (6, 9), (17, 11), (24, 12), (14, 6), (15, 4), (18, 21)]
659 : [(13, 19), (9, 23), (14, 7), (10, 20), (22, 10), (10, 5), (13, 11), (15, 10), (17, 11), (15, 13), (11, 15), (19, 9), (14, 1), (10, 4), (18, 13), (2, 5), (15, 4), (8, 18), (6, 9), (14, 5), (12, 20), (5, 17), (11, 7), (12, 13), (24, 12), (0, 15), (4, 3), (11, 12), (22, 18), (1, 22), (3, 0), (19, 8), (22, 8), (14, 6), (8, 23), (23, 20), (18, 21), (4, 0), (16, 21), (1, 21)]
661 : [(19, 9), (18, 13), (9, 23), (15, 10), (15, 13), (10, 4), (13, 11), (17, 11), (18, 21), (1, 22), (8, 23), (14, 5), (5, 17), (22, 8), (14, 1), (4, 3), (0, 15), (24, 12), (8, 18), (15, 4), (3, 0), (16, 21), (13, 19), (6, 9), (12, 13), (12, 20), (10, 5), (14, 7), (2, 5), (11, 7), (4, 0), (14, 6), (22, 18), (11, 12), (23, 20), (10, 20), (22, 10), (19, 8), (1, 21), (11, 15)]
675 : [(17, 11), (1, 21), (11, 15), (10, 4), (14, 1), (18, 13), (14, 5), (22, 18), (22, 10), (5, 17), (15, 10), (10, 20), (12, 20), (10, 5), (11, 7), (19, 8), (11, 12), (13, 19), (19, 9), (22, 8), (23, 20), (14, 6), (24, 12), (8, 18), (0, 15), (14, 7), (9, 23), (4, 3), (1, 22), (4, 0), (15, 4), (18, 21), (12, 13), (3, 0), (13, 11), (15, 13), (2, 5), (6, 9), (8, 23), (16, 21)]
637 : [(0, 15), (14, 7), (8, 18), (15, 4), (1, 22), (15, 13), (23, 20), (4, 0), (11, 7), (13, 19), (10, 20), (24, 12), (6, 9), (22, 18), (16, 21), (14, 1), (12, 13), (15, 10), (17, 11), (12, 20), (11, 12), (8, 23), (19, 8), (4, 3), (1, 21), (10, 4), (2, 5), (3, 0), (18, 21), (5, 17), (10, 5), (14, 6), (14, 5), (18, 13), (9, 23), (22, 8), (22, 10), (11, 15), (19, 9), (13, 11)]
675 : [(0, 15), (4, 0), (11, 15), (15, 13), (12, 20), (13, 19), (18, 13), (15, 4), (19, 8), (9, 23), (3, 0), (14, 1), (1, 21), (14, 5), (19, 9), (1, 22), (22, 8), (11, 7), (5, 17), (4, 3), (10, 5), (15, 10), (14, 7), (10, 4), (17, 11), (13, 11), (16, 21), (6, 9), (22, 18), (8, 18), (10, 20), (11, 12), (22, 10), (2, 5), (23, 20), (24, 12), (12, 13), (14, 6), (18, 21), (8, 23)]
647 : [(16, 21), (12, 13), (18, 13), (0, 15), (22, 8), (22, 18), (13, 19), (15, 13), (9, 23), (24, 12), (3, 0), (2, 5), (10, 4), (6, 9), (15, 4), (12, 20), (14, 1), (8, 18), (23, 20), (15, 10), (5, 17), (14, 6), (11, 7), (17, 11), (11, 15), (14, 7), (22, 10), (19, 8), (1, 21), (10, 20), (11, 12), (8, 23), (14, 5), (13, 11), (1, 22), (4, 0), (19, 9), (10, 5), (18, 21), (4, 3)]
671 : [(15, 10), (22, 10), (5, 17), (13, 11), (23, 20), (12, 20), (15, 4), (8, 23), (14, 5), (2, 5), (14, 1), (17, 11), (18, 21), (10, 5), (12, 13), (19, 8), (22, 18), (11, 12), (14, 7), (22, 8), (3, 0), (10, 4), (10, 20), (9, 23), (15, 13), (24, 12), (11, 7), (0, 15), (8, 18), (1, 22), (13, 19), (14, 6), (16, 21), (6, 9), (11, 15), (4, 0), (19, 9), (4, 3), (1, 21), (18, 13)]
665 : [(4, 0), (4, 3), (8, 18), (22, 18), (14, 1), (13, 19), (15, 10), (8, 23), (14, 6), (3, 0), (18, 21), (23, 20), (24, 12), (19, 8), (14, 7), (0, 15), (12, 20), (22, 10), (15, 13), (13, 11), (11, 12), (18, 13), (10, 4), (12, 13), (15, 4), (14, 5), (9, 23), (1, 22), (16, 21), (5, 17), (2, 5), (10, 5), (6, 9), (1, 21), (11, 15), (11, 7), (19, 9), (17, 11), (22, 8), (10, 20)]
667 : [(14, 5), (8, 23), (4, 3), (4, 0), (15, 4), (10, 20), (8, 18), (22, 10), (13, 19), (18, 21), (14, 1), (2, 5), (22, 18), (22, 8), (23, 20), (11, 12), (19, 8), (19, 9), (13, 11), (15, 13), (24, 12), (11, 7), (16, 21), (1, 22), (14, 7), (12, 20), (11, 15), (10, 4), (18, 13), (6, 9), (15, 10), (17, 11), (1, 21), (0, 15), (14, 6), (5, 17), (10, 5), (12, 13), (9, 23), (3, 0)]
653 : [(9, 23), (4, 3), (12, 13), (18, 21), (14, 1), (8, 23), (15, 10), (2, 5), (19, 8), (5, 17), (10, 20), (11, 15), (19, 9), (11, 12), (22, 18), (14, 7), (0, 15), (22, 8), (10, 5), (13, 11), (11, 7), (1, 22), (12, 20), (16, 21), (24, 12), (14, 6), (23, 20), (4, 0), (17, 11), (18, 13), (15, 13), (22, 10), (15, 4), (8, 18), (10, 4), (3, 0), (1, 21), (14, 5), (6, 9), (13, 19)]
633 : [(9, 23), (18, 21), (22, 10), (3, 0), (15, 4), (14, 7), (11, 12), (14, 1), (13, 19), (15, 13), (5, 17), (14, 6), (2, 5), (18, 13), (23, 20), (13, 11), (4, 3), (8, 23), (11, 15), (22, 8), (0, 15), (14, 5), (15, 10), (1, 22), (16, 21), (11, 7), (17, 11), (10, 5), (10, 4), (10, 20), (22, 18), (4, 0), (12, 20), (24, 12), (1, 21), (8, 18), (19, 8), (19, 9), (6, 9), (12, 13)]
633 : [(10, 20), (15, 13), (15, 4), (10, 4), (22, 18), (23, 20), (22, 10), (0, 15), (18, 13), (1, 22), (16, 21), (12, 20), (13, 19), (3, 0), (22, 8), (15, 10), (13, 11), (11, 7), (10, 5), (14, 7), (17, 11), (11, 12), (8, 18), (4, 3), (5, 17), (12, 13), (19, 8), (8, 23), (11, 15), (24, 12), (2, 5), (1, 21), (14, 5), (19, 9), (6, 9), (18, 21), (14, 1), (9, 23), (4, 0), (14, 6)]
641 : [(22, 10), (19, 9), (6, 9), (15, 4), (1, 22), (5, 17), (9, 23), (11, 7), (12, 20), (15, 13), (8, 18), (11, 15), (14, 1), (3, 0), (13, 11), (0, 15), (4, 0), (22, 18), (18, 13), (14, 7), (10, 5), (22, 8), (1, 21), (24, 12), (16, 21), (18, 21), (14, 5), (10, 4), (10, 20), (13, 19), (12, 13), (2, 5), (4, 3), (8, 23), (17, 11), (15, 10), (14, 6), (23, 20), (11, 12), (19, 8)]
625 : [(16, 21), (12, 13), (0, 15), (18, 21), (10, 4), (12, 20), (14, 7), (13, 19), (24, 12), (15, 13), (15, 10), (19, 8), (11, 7), (23, 20), (14, 5), (22, 18), (8, 18), (17, 11), (2, 5), (1, 21), (3, 0), (6, 9), (4, 3), (8, 23), (15, 4), (5, 17), (14, 1), (11, 12), (4, 0), (22, 8), (1, 22), (19, 9), (10, 20), (11, 15), (10, 5), (13, 11), (22, 10), (18, 13), (14, 6), (9, 23)]
